1,0.0022092,2,0.0083653,3,0.010986,4,0.012251
84,0.84336,126.5,0.85773,169,0.85973,211.5,0.86013
85,0.84902,128,0.86166,171,0.86337,214,0.86368
86,0.85437,129.5,0.8654,173,0.86685,216.5,0.86708
87,0.85941,131,0.86897,175,0.87018,219,0.87035
88,0.86416,132.5,0.87237,177,0.87337,221.5,0.87348
89,0.86863,134,0.87561,179,0.87642,224,0.87648
90,0.87282,135.5,0.87868,181,0.87932,226.5,0.87934
91,0.87675,137,0.8816,183,0.8821,229,0.88209
92,0.88043,138.5,0.88437,185,0.88474,231.5,0.88471
93,0.88386,140,0.88699,187,0.88727,234,0.88722
94,0.88707,141.5,0.88948,189,0.88967,236.5,0.88961
95,0.89005,143,0.89183,191,0.89195,239,0.89189
96,0.89283,144.5,0.89405,193,0.89412,241.5,0.89407
97,0.8954,146,0.89615,195,0.89618,244,0.89614
98,0.89779,147.5,0.89813,197,0.89814,246.5,0.89812
99,0.9,149,0.9,199,0.9,249,0.9
351,0.90025,302,0.90025,253,0.90025,250,0.90056
352,0.90051,304,0.90051,256,0.90051,254,0.90115
353,0.9008,306,0.9008,259,0.9008,258,0.90178
354,0.90111,308,0.90111,262,0.90111,262,0.90244
355,0.90144,310,0.90144,265,0.90144,266,0.90314
356,0.90179,312,0.90179,268,0.90179,270,0.90388
357,0.90217,314,0.90217,271,0.90217,274,0.90466
358,0.90258,316,0.90258,274,0.90258,278,0.90547
359,0.90302,318,0.90302,277,0.90302,282,0.90633
360,0.90349,320,0.90349,280,0.90349,286,0.90723
361,0.90398,322,0.90398,283,0.90398,290,0.90817
362,0.90451,324,0.90451,286,0.90451,294,0.90915
363,0.90507,326,0.90507,289,0.90507,298,0.91017
364,0.90566,328,0.90566,292,0.90566,302,0.91123
365,0.90629,330,0.90629,295,0.90629,306,0.91234
366,0.90696,332,0.90696,298,0.90696,310,0.91348
367,0.90766,334,0.90766,301,0.90766,314,0.91467
368,0.9084,336,0.9084,304,0.9084,318,0.9159
369,0.90917,338,0.90917,307,0.90917,322,0.91717
370,0.90999,340,0.90999,310,0.90999,326,0.91847
371,0.91085,342,0.91085,313,0.91085,330,0.91982
372,0.91174,344,0.91174,316,0.91174,334,0.9212
373,0.91268,346,0.91268,319,0.91268,338,0.92262
374,0.91365,348,0.91365,322,0.91365,342,0.92407
375,0.91467,350,0.91467,325,0.91467,346,0.92556
376,0.91572,352,0.91572,328,0.91572,350,0.92707
377,0.91682,354,0.91682,331,0.91682,354,0.92862
378,0.91796,356,0.91796,334,0.91796,358,0.93019
379,0.91914,358,0.91914,337,0.91914,362,0.93179
380,0.92035,360,0.92035,340,0.92035,366,0.93342
381,0.92161,362,0.92161,343,0.92161,370,0.93506
382,0.9229,364,0.9229,346,0.9229,374,0.93672
383,0.92423,366,0.92423,349,0.92423,378,0.9384
384,0.9256,368,0.9256,352,0.9256,382,0.94009
385,0.927,370,0.927,355,0.927,386,0.94179
386,0.92843,372,0.92843,358,0.92843,390,0.9435
387,0.92989,374,0.92989,361,0.92989,394,0.94522
388,0.93139,376,0.93139,364,0.93139,398,0.94694
389,0.93291,378,0.93291,367,0.93291,402,0.94865
390,0.93446,380,0.93446,370,0.93446,406,0.95037
391,0.93603,382,0.93603,373,0.93603,410,0.95208
392,0.93762,384,0.93762,376,0.93762,414,0.95378
393,0.93923,386,0.93923,379,0.93923,418,0.95547
394,0.94086,388,0.94086,382,0.94086,422,0.95715
395,0.9425,390,0.9425,385,0.9425,426,0.95881
396,0.94415,392,0.94415,388,0.94415,430,0.96046
397,0.94582,394,0.94582,391,0.94582,434,0.96208
398,0.94749,396,0.94749,394,0.94749,438,0.96368
399,0.94916,398,0.94916,397,0.94916,442,0.96525
400,0.95084,400,0.95084,400,0.95084,446,0.9668
401,0.95251,402,0.95251,403,0.95251,450,0.96831
402,0.95418,404,0.95418,406,0.95418,454,0.9698
403,0.95585,406,0.95585,409,0.95585,458,0.97125
404,0.9575,408,0.9575,412,0.9575,462,0.97267
405,0.95914,410,0.95914,415,0.95914,466,0.97405
406,0.96077,412,0.96077,418,0.96077,470,0.9754
407,0.96238,414,0.96238,421,0.96238,474,0.97671
408,0.96397,416,0.96397,424,0.96397,478,0.97797
409,0.96554,418,0.96554,427,0.96554,482,0.9792
410,0.96709,420,0.96709,430,0.96709,486,0.98039
411,0.96861,422,0.96861,433,0.96861,490,0.98154
412,0.97011,424,0.97011,436,0.97011,494,0.98264
413,0.97157,426,0.97157,439,0.97157,498,0.9837
414,0.973,428,0.973,442,0.973,502,0.98473
415,0.9744,430,0.9744,445,0.9744,506,0.98571
416,0.97577,432,0.97577,448,0.97577,510,0.98664
417,0.9771,434,0.9771,451,0.9771,514,0.98754
418,0.97839,436,0.97839,454,0.97839,518,0.9884
419,0.97965,438,0.97965,457,0.97965,522,0.98921
420,0.98086,440,0.98086,460,0.98086,526,0.98999
421,0.98204,442,0.98204,463,0.98204,530,0.99073
422,0.98318,444,0.98318,466,0.98318,534,0.99143
423,0.98428,446,0.98428,469,0.98428,538,0.99209
424,0.98533,448,0.98533,472,0.98533,542,0.99272
425,0.98635,450,0.98635,475,0.98635,546,0.99331
426,0.98732,452,0.98732,478,0.98732,550,0.99387
427,0.98826,454,0.98826,481,0.98826,554,0.9944
428,0.98915,456,0.98915,484,0.98915,558,0.99489
429,0.99001,458,0.99001,487,0.99001,562,0.99535
430,0.99083,460,0.99083,490,0.99083,566,0.99579
431,0.9916,462,0.9916,493,0.9916,570,0.99619
